Stations_id,Bezugszeitraum,Datenquelle,Jan.,Feb.,M‰rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
4763,1981-2010,42,42.0,67.0,104.0,161.0,195.0,194.0,208.0,193.0,136.0,95.0,41.0,30.0,1466.0
4765,1981-2010,46,41.7,67.6,104.5,161.5,197.6,195.6,207.3,193.5,135.3,94.6,41.1,29.9,1470.2
4775,1981-2010,46,43.9,73.4,106.7,168.1,205.4,202.3,222.5,211.4,150.7,105.7,45.7,34.4,1570.2
4782,1981-2010,46,56.2,75.5,114.0,175.1,220.9,209.9,224.1,209.3,149.7,115.1,57.0,44.9,1651.5
4813,1981-2010,46,47.4,76.2,108.7,166.8,203.7,201.5,219.8,207.9,150.6,104.6,47.7,37.2,1572.1
4818,1981-2010,46,47.0,72.3,105.4,165.1,202.9,197.9,216.2,207.8,150.0,108.0,49.2,37.5,1559.5
4837,1981-2010,46,60.6,85.2,124.1,160.5,191.7,213.2,236.8,223.4,164.1,116.9,66.7,44.1,1687.2
4841,1981-2010,42,45.0,70.0,112.0,177.0,226.0,203.0,218.0,203.0,144.0,106.0,53.0,36.0,1593.0
4847,1981-2010,46,49.4,74.1,107.8,157.8,193.9,188.4,200.0,188.8,137.4,99.3,48.9,38.7,1484.6
4857,1981-2010,42,43.0,67.0,107.0,171.0,221.0,199.0,216.0,202.0,143.0,106.0,50.0,33.0,1558.0
4878,1981-2010,42,55.0,76.0,108.0,159.0,199.0,187.0,202.0,192.0,139.0,106.0,53.0,45.0,1521.0
4881,1981-2010,46,57.4,82.9,127.2,167.7,201.1,218.0,241.8,222.0,161.3,107.6,60.5,43.3,1690.8
4896,1981-2010,46,41.5,62.0,108.8,179.0,235.1,216.0,228.8,209.2,144.2,100.3,54.3,36.4,1615.5
4911,1981-2010,42,47.0,81.0,125.0,182.0,227.0,227.0,245.0,225.0,165.0,109.0,47.0,39.0,1719.0
4926,1981-2010,46,66.9,87.9,124.9,168.8,204.4,218.0,237.4,222.8,160.2,112.1,68.9,51.4,1723.5
4927,1981-2010,46,66.8,88.2,124.6,167.7,203.1,216.0,236.0,221.9,160.5,112.5,68.9,51.1,1717.4
4931,1981-2010,46,72.5,91.7,125.9,165.6,202.1,212.7,232.5,219.0,162.4,115.1,72.9,56.3,1728.7
4933,1981-2010,46,67.6,89.6,125.4,165.1,200.7,213.2,233.1,220.3,161.8,113.2,69.7,51.9,1711.7
4939,1981-2010,46,56.0,74.3,112.5,163.2,205.2,193.2,207.1,198.0,144.1,110.3,56.7,44.6,1565.3
4977,1981-2010,46,50.3,71.9,112.3,176.1,223.1,211.9,224.6,208.4,149.7,111.6,53.3,39.5,1632.7
4978,1981-2010,42,43.0,74.0,106.0,165.0,199.0,201.0,216.0,200.0,141.0,97.0,40.0,33.0,1515.0
4987,1981-2010,46,47.0,76.0,117.1,170.3,202.1,206.4,226.8,211.8,156.3,102.5,49.1,35.5,1600.8
4997,1981-2010,42,59.0,77.0,111.0,170.0,212.0,201.0,221.0,209.0,148.0,115.0,58.0,46.0,1627.0
5009,1981-2010,42,47.0,67.0,113.0,177.0,233.0,211.0,226.0,203.0,149.0,112.0,52.0,37.0,1627.0
5014,1981-2010,46,43.6,68.1,107.0,169.3,214.6,195.0,209.7,195.3,140.8,105.3,50.2,35.2,1534.2
5017,1981-2010,46,48.4,75.3,106.0,161.9,198.0,190.2,209.6,200.8,146.4,105.3,48.6,38.9,1529.3
5024,1981-2010,46,52.5,73.5,113.3,174.9,220.2,212.4,225.2,209.0,150.8,112.5,55.1,41.4,1640.9
5032,1981-2010,46,43.4,74.4,113.9,171.1,205.5,209.4,229.7,213.0,153.0,98.7,44.0,32.1,1588.2
5039,1981-2010,46,40.4,69.0,103.8,163.8,198.4,197.8,212.3,198.1,137.6,94.5,39.5,29.5,1484.6
5046,1981-2010,42,46.0,74.0,106.0,166.0,202.0,197.0,219.0,210.0,149.0,107.0,47.0,37.0,1560.0
5047,1981-2010,46,76.5,90.1,125.9,156.7,185.7,206.9,232.5,215.5,162.9,122.5,75.7,56.0,1706.8
5059,1981-2010,46,66.3,82.1,115.8,147.1,174.5,190.5,215.0,200.5,152.1,110.7,69.5,50.8,1574.8
5064,1981-2010,46,52.5,75.9,111.0,165.6,197.7,194.3,208.5,191.9,136.9,108.2,56.0,41.1,1539.5
5067,1981-2010,46,45.0,70.3,102.7,153.7,196.4,181.3,198.9,190.1,132.5,98.7,46.9,33.4,1449.8
5068,1981-2010,46,54.9,75.9,115.1,177.7,221.8,211.0,229.4,214.0,152.3,117.4,57.5,44.2,1671.2
5074,1981-2010,46,71.9,93.2,126.2,172.9,213.1,205.3,239.8,216.5,162.8,127.3,72.4,51.9,1753.2
5075,1981-2010,46,72.5,92.5,124.9,170.2,208.6,200.9,235.3,213.4,160.9,126.6,72.3,52.7,1730.6
5078,1981-2010,46,41.9,64.5,120.4,185.8,246.5,222.8,243.6,222.2,156.5,112.9,51.2,33.3,1701.7
5088,1981-2010,46,42.6,63.3,122.1,197.4,258.7,238.5,262.7,226.9,162.4,113.3,50.4,34.0,1772.3
